X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.308467456068,34.1828521164954,63331,211,,Public Safety,Crime Reporting and Investigation,,,City Of Burbank Police Department,200 N 3Rd St,,Burbank,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Service/Intake (818) 238-3000, Business Calls Service/Intake (818) 238-3130,  Information Only (818) 238-3333, Vice/Narcotics Service/Intake (818) 238-3280, Jail Information Service/Intake (818) 238-3010, Traffic Bureau ",www.ci.burbank.ca.us/police,,,70634,The department provides law enforcement services for the city of Burbank.,91502,http://egis3.lacounty.gov/lms/?p=70634,publish,34.18285215,-118.3084674,,2010/11/01 11:50:56+00,,6468377.81443623,1889066.87404548
-118.127655056875,33.940914787323,64193,211,,Public Safety,Crime Reporting and Investigation,,,City Of Downey Police Department,10911 Brookshire Ave,,Downey,CA,"Monday through Sunday, 24 hours per day. ","FAX (562) 904-2384, Direct Dispatch - Emergency and Non-Emergency Service/Intake (562) 861-0771, Direct Dispatch - Emergency Number for Agencies Only Service/Intake (562) 904-2363",www.downeyca.org/,,,71048,The department provides law enforcement services for the city of Downey.,90241,http://egis3.lacounty.gov/lms/?p=71048,publish,33.94091482,-118.127655,,2010/11/01 11:50:56+00,,6522950.63803314,1800902.59040065
-118.072508956145,33.9153721172854,64319,211,,Public Safety,Crime Reporting and Investigation,,Los Angeles Superior Court,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Norwalk,12720 Norwalk Blvd,Rm. 306 & 307,Norwalk,CA,"Hours vary; please call for hours. ","Administrative (562) 807-7206,  Administrative (562) 807-7207",http://www.lacourt.org/division/familylaw/familylaw.aspx,,,71112,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90650,http://egis3.lacounty.gov/lms/?p=71112,publish,33.91537215,-118.0725089,,2018/01/12 16:37:10+00,,6539670.5757218,1791590.38789648
-118.225098056542,33.9800888670734,64693,211,,Public Safety,Crime Reporting and Investigation,,,West Advisory Christian Counseling Center,6532 Pacific Blvd,"2nd Fl.,  Suite C",Huntington Park,CA,"Monday, Wednesday, Thursday, Friday 9:30 a.m. to 9:30 p.m.   Tuesday 9:30 a.m. to 7:30 p.m.  Saturday 9:00 a.m.  to 6:00 p.m. ","Service/Intake and Administration (323) 588-5971,  FAX (323) 588-8542,  Service/Intake and Administration (323) 583-1073,  Service/Intake and Administration (323) 588-8542",,,,71372,"The agency provides counseling services, domestic violence services, family life education, sexual assault services and substance abuse services for people who live in Huntington Park and surrounding areas.",90255,http://egis3.lacounty.gov/lms/?p=71372,publish,33.9800889,-118.225098,,2010/11/01 11:50:56+00,,6493426.66558513,1815210.70548515
-118.278034856537,33.9706131767444,65076,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - 77Th St Lapd Station,7600 S Broadway,,Los Angeles,CA,"Monday through Thursday, 8:00am to 5:00pm; every other Friday, 8:00am to 5:00pm. ",Joanne Zaratan - Victims Assistance Coordinator Service/Intake (213) 485-8848,www.lacity.org/atty,,,71573,The program provides victims of crime support for the city of Los Angeles.,90003,http://egis3.lacounty.gov/lms/?p=71573,publish,33.97061321,-118.2780348,,2010/11/01 11:50:56+00,,6477368.1491458,1811802.48034623
-118.289407255811,33.7570139476993,65080,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Harbor Area Lapd Station,2175 John Gibson Blvd,,San Pedro,CA,"Monday through Friday, 9:00am to 5:30pm. ","Yolande Irvine - Victims Assistance Coordinator Service/Intake (310) 726-7786, Yolande Irvine - Victims Assistance Coordinator Service/Intake (310) 732-4611,  FAX (310) 726-7980",www.lacity.org/atty,,,71574,The program provides victims of crime support for the city of Los Angeles.,90731,http://egis3.lacounty.gov/lms/?p=71574,publish,33.75701398,-118.2894072,,2010/11/01 11:50:56+00,,6473696.15714598,1734078.45567648
-118.213090756257,34.0447575965867,65084,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Hollenbeck Lapd Station,2111 E 1St St,,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm. ","Paula G. Ramos - Victim Assistance Coordinator Service/Intake (323) 342-4151,  Service/Intake (323) 342-4103",www.lacity.org/atty,,,71575,The program provides victims of crime support for the city of Los Angeles.,90033,http://egis3.lacounty.gov/lms/?p=71575,publish,34.04475763,-118.2130907,,2010/11/01 11:50:56+00,,6497116.84094755,1838736.9783144
-118.256302555883,34.0125635469185,65088,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Newton Lapd Station,3400 S Central Ave,,Los Angeles,CA,"Tuesday through Friday, 8:00am to 4:00pm. ",Julie Briones - Victim Assistance Coordinator Service/Intake (323) 846-5374,www.lacity.org/atty,,,71576,The program provides victims of crime support for the city of Los Angeles.,90011,http://egis3.lacounty.gov/lms/?p=71576,publish,34.01256358,-118.2563025,,2010/11/01 11:50:56+00,,6483996.45314638,1827051.52563548
-118.249490156638,34.1188392067989,65092,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Northeast Lapd Station,3353 W San Fernando Rd,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:30pm. ","Edwar Huiza - Victim Assistance Coordinator Service/Intake (213) 485-3240,  Service/Intake (323) 344-5709",www.lacity.org/atty,,,71577,The program provides victims of crime support for the city of Los Angeles.,90065,http://egis3.lacounty.gov/lms/?p=71577,publish,34.11883924,-118.2494901,,2010/11/01 11:50:56+00,,6486156.97769672,1865721.97322881
-118.374658055847,34.1649229664806,65096,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - North Hollywood Lapd Station,1164 Burbank Blvd.,,North Hollywood,CA,"Monday through Friday, 8:00am to 5:00pm. ",Esther J. Neill - Victim Assistance Coordinator Service/Intake (818) 623-4056,www.lacity.org/atty,,,71578,The program provides victims of crime support for the city of Los Angeles.,91601,http://egis3.lacounty.gov/lms/?p=71578,publish,34.164923,-118.374658,,2010/11/01 11:50:56+00,,6448334.97361647,1882610.19995098
-118.448463856223,34.1840845769542,65100,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Van Nuys Branch,6262 Van Nuys Blvd,Rm. 151,Van Nuys,CA,"Monday through Friday, 8:00am to 5:00pm. ",Gabriella Castillo - Victim Assistance Advocate Service/Intake (818) 374-3333,www.lacity.org/atty,,,71579,The program provides victims of crime support for the city of Los Angeles.,91401,http://egis3.lacounty.gov/lms/?p=71579,publish,34.18408461,-118.4484638,,2010/11/01 11:50:56+00,,6426039.70849581,1889674.8016354
-118.343047456648,34.0464868267181,65104,211,,Public Safety,Crime Reporting and Investigation,,,City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit - Wilshire Lapd Station,4861 Venice Blvd,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:30pm. ",Doris Chiriboga - Victim Assistance Coordinator Service/Intake (213) 922-8238,www.lacity.org/atty,,,71580,The program provides victims of crime support for the city of Los Angeles.,90019,http://egis3.lacounty.gov/lms/?p=71580,publish,34.04648686,-118.3430474,,2010/11/01 11:50:56+00,,6457750.1568858,1839475.18320282
-118.239626156214,34.0544716465865,65149,211,,Public Safety,Crime Reporting and Investigation,,,United States Citizenship And Immigration Services - Los Angeles Field Office,300 N Los  Angeles St,Federal Building,Los Angeles,CA,"Monday, Tuesday, Wednesday, Friday, 6:00am to 3:00pm; Thursday, 6:00am to 12:00 noon. ","Investigations Unit Service/Intake (213) 830-5526, National Customer Service Center Service/Intake (800) 375-5283",www.uscis.gov,,,71600,The office provides immigration services for Los Angeles County.,90012,http://egis3.lacounty.gov/lms/?p=71600,publish,34.05447168,-118.2396261,,2010/11/01 11:50:56+00,,6489086.67459323,1842290.20250714
-118.449390155431,34.0570094865247,65152,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of Justice - Federal Bureau Of Investigation - Los Angeles Field Office,11000 Wilshire Blvd,Suite 1700,Los Angeles,CA,"Monday through Friday, 8:15am to 5:00pm. ",24 Hours Service/Intake (310) 477-6565,www.fbi.gov,,,71601,The bureau provides law enforcement services.,90024,http://egis3.lacounty.gov/lms/?p=71601,publish,34.05700952,-118.4493901,,2015/05/04 14:35:40+00,,6425552.81740922,1843431.52798039
-118.239880056196,34.0528299766283,65155,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of Justice - Drug Enforcement Administration - Los Angeles Division,255 E Temple St,17th Fl.,Los Angeles,CA,"Monday through Friday, 9:00am to 5:30pm. ",Service/Intake and Administration (213) 621-6700,www.dea.gov,,,71602,The agency is a regional branch of the Justice department that provides law enforcement services to residents of the United States.,90012,http://egis3.lacounty.gov/lms/?p=71602,publish,34.05283001,-118.23988,,2010/11/01 11:50:56+00,,6489008.34174463,1841692.95206122
-118.065067556598,34.0712928072091,65157,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of The Treasury - Internal Revenue Service - El Monte,9350 Flair Dr,,El Monte,CA,"Monday through Friday, 8:30am to 4:30pm. ","Service/Intake and Administration (626) 312-5138, Assistance for Individuals Service/Intake (800) 829-1040, Assistance for Businesses Service/Intake (800) 829-4933, Assistance for Individuals with Hearing Impairments Service/Intake (Voice and TDD) (800) 8",www.irs.gov/index.html,,,71603,"Monday through Friday, 8:30am to 4:30pm, EST.",91731,http://egis3.lacounty.gov/lms/?p=71603,publish,34.07129284,-118.0650675,,2010/11/01 11:50:56+00,,6541965.08130339,1848331.61004373
-118.198060756494,33.7673675374325,65160,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of The Treasury - Internal Revenue Service - Long Beach,501 W Ocean Blvd,,Long Beach,CA,"Monday through Friday, 8:30am to 4:30pm. ","Service/Intake and Administration (562) 491-7751, Assistance for Individuals Service/Intake (800) 829-1040, Assistance for Businesses Service/Intake (800) 829-4933, Assistance for Individuals with Hearing Impairments Service/Intake (Voice and TDD) (800) 8",www.irs.gov/index.html,,,71604,"Monday through Friday, 8:30am to 4:30pm, EST.",90802,http://egis3.lacounty.gov/lms/?p=71604,publish,33.76736757,-118.1980607,,2010/11/01 11:50:56+00,,6501471.10192405,1737779.09197597
-118.239626156214,34.0544716465865,65163,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of The Treasury - Internal Revenue Service - Los Angeles,300 N Los  Angeles St,,Los Angeles,CA,"Monday through Friday, 8:30am to 4:30pm. ","Service/Intake and Administration (213) 576-3009, Assistance for Individuals Service/Intake (800) 829-1040, Assistance for Businesses Service/Intake (800) 829-4933, Assistance for Individuals with Hearing Impairments Service/Intake (Voice and TDD) (800) 8",www.irs.gov/index.html,,,71605,"Monday through Friday, 8:30am to 4:30pm, EST.",90012,http://egis3.lacounty.gov/lms/?p=71605,publish,34.05447168,-118.2396261,,2010/11/01 11:50:56+00,,6489086.67459323,1842290.20250714
-118.448484956589,34.1833972965097,65166,211,,Public Safety,Crime Reporting and Investigation,,,United States Department Of The Treasury - Internal Revenue Service - Van Nuys,6230 Van Nuys Blvd,,Van Nuys,CA,"Monday through Friday, 8:30am to 4:30pm. ","Service/Intake and Administration (818) 756-4607, Assistance for Individuals Service/Intake (800) 829-1040, Assistance for Businesses Service/Intake (800) 829-4933, Assistance for Exempt Organizations Service/Intake (877) 829-5500,  Service/Intake (Voice ",www.irs.gov/index.html,,,71606,"Monday through Friday, 8:30am to 4:30pm, EST.",91401,http://egis3.lacounty.gov/lms/?p=71606,publish,34.18339733,-118.4484849,,2010/11/01 11:50:56+00,,6426032.21113548,1889424.71880223
-118.160665356234,34.0335650567018,65168,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - East Los Angeles Office,4801 E 3Rd St,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake and Administration (323) 881-7099, Customer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71607,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,90022,http://egis3.lacounty.gov/lms/?p=71607,publish,34.03356509,-118.1606653,,2010/11/01 11:50:56+00,,6512992.01424964,1834634.2719529
-118.247874955859,33.96767832738,65171,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - Florence / Firestone Office,7807 Compton Ave,Rm. 218,Los Angeles,CA,"Monday and Wednesday, 8:30am to 4:30pm; closed 12:00pm to 1:00pm. ","Service/Intake and Administration (323) 586-7268, Consumer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71608,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,90001,http://egis3.lacounty.gov/lms/?p=71608,publish,33.96767836,-118.2478749,,2010/11/01 11:50:56+00,,6486510.1977908,1810710.50713648
-118.139521757253,34.6981309260694,65173,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - Lancaster Office,601 W Lancaster Blvd,,Lancaster,CA,"Friday, 10:00am to 3:30pm. ","Service/Intake and Administration (661) 726-7550, Consumer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71609,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,93534,http://egis3.lacounty.gov/lms/?p=71609,publish,34.69813096,-118.1395217,,2010/11/01 11:50:56+00,,6519733.77537239,2076474.23348197
-118.045540657147,34.0451544473098,65176,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - San Gabriel Valley Office,1441 Santa Anita Ave,,South El Monte,CA,"Monday and Friday, 8:30am to 4:30pm; closed 12:00pm to 1:00pm. ","Service/Intake and Administration (626) 575-5425, Consumer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71610,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,91731,http://egis3.lacounty.gov/lms/?p=71610,publish,34.04515448,-118.0455406,,2010/11/01 11:50:56+00,,6547874.35951105,1838816.10282806
-118.319870155507,33.8046176071653,65178,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - South Bay / Lomita Center,24340 Narbonne Ave,,Lomita,CA,"Friday, 8:30am to 4:30pm; closed 12:00pm to 1:00pm. ","Service/Intake and Administration (310) 325-1035,  Service/Intake (800) 593-8222",dca.lacounty.gov,,,71611,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,90717,http://egis3.lacounty.gov/lms/?p=71611,publish,33.80461764,-118.3198701,,2010/11/01 11:50:56+00,,6464491.18539847,1751430.7493839
-118.551256755769,34.415622976304,65180,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - Valencia / Courthouse Office,23747 Valencia Blvd,,Valencia,CA,"Wednesday, 8:30am to 4:30pm; closed 12:00pm to 1:00pm. ","Service/Intake and Administration (661) 253-7328, Consumer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71612,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,91355,http://egis3.lacounty.gov/lms/?p=71612,publish,34.41562301,-118.5512567,,2010/11/01 11:50:56+00,,6395414.04271314,1974089.29487956
-118.445804655924,34.1845042969295,65183,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Consumer Affairs - Van Nuys Office,14340 Sylvan St,,Van Nuys,CA,"Tuesday and Thursday, 8:00am to 4:30pm. ","Service/Intake and Administration (818) 901-3829, Consumer Information Center Service/Intake (800) 593-8222",dca.lacounty.gov,,,71613,The department provides consumer assistance and volunteer opportunities for Los Angeles County residents and businesses.,91411,http://egis3.lacounty.gov/lms/?p=71613,publish,34.18450433,-118.4458046,,2010/11/01 11:50:56+00,,6426844.61272588,1889823.96636331
-118.245507656647,34.057151396716,65226,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Sheriff - Office Of County Services,500 W Temple St,#375,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake (213) 974-1120,  Service/Intake (213) 974-1302, 24 HR Dispatch Service/Intake and Hotline (800) 834-0064",www.lasd.org,,,71630,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90012,http://egis3.lacounty.gov/lms/?p=71630,publish,34.05715143,-118.2455076,,2010/11/01 11:50:56+00,,6487307.53116989,1843269.71170297
